segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,gene_symbol
chr22:22686726-22687271,-0.07804274519186039,0.07804274519186039,0.01873970648502435,7.2260081500016415,0.515624994,0.0,0.515624994,M,-0.002457568898772403,IGLV3-25
chr14:35430260-35430631,0.06959136395361751,0.06959136395361751,0.014883975207219072,6.44486473720547,0.0,0.5117187565,-0.5117187565,U,0.0022306326443095365,DNAJC8P1
chr1:6247353-6261098,-0.041625227515705895,0.041625227515705895,0.0054434132328177506,3.8600134988089,0.45971748795116557,0.28760642103807255,0.17211106691309302,M,-0.0020126420128979755,GPR153
chr9:8858127-8864772,-0.024876432698108904,0.024876432698108904,0.0019725281183776084,2.3119575804652297,0.54589844,0.0,0.54589844,M,-0.002457568898772422,PTPRD
chr4:153780591-153789083,0.02328621680161278,0.02328621680161278,0.001725033757021687,2.164977265951579,0.5283487299808334,0.6619741191275739,-0.1336253891467405,U,0.002038366257277858,SFRP2
chr1:160485030-160523262,0.022194493944115334,0.022194493944115334,0.0015638313486464094,2.064071615775224,0.25378523349113474,0.5700629337962964,-0.3162777003051616,U,0.0022306994654438467,SLAMF6
chr7:101127104-101139247,-0.021485843776339702,0.021485843776339702,0.0014787563746554695,1.9985725695329406,0.6131244859245639,0.3155773299802001,0.2975471559443638,M,-0.0024528095012147193,SERPINE1
chr6:32659467-32668383,0.019827761015909898,0.019827761015909898,0.0012786390720248358,1.8453194633637626,0.6183563239567709,0.32102864612916665,0.2973276778276042,M,-0.0022239470278580514,HLA-DQB1
chr8:2045046-2165552,-0.016365606642197116,0.016365606642197116,0.0008806524083237994,1.5253198080563573,0.5794919689512875,0.8084210508534122,-0.2289290819021247,U,0.0023272635259019084,MYOM2
chrX:87517409-87670050,0.012934202478865288,0.012934202478865288,0.0005585924509622545,1.2081623300929916,0.994628905,0.7378743482916665,0.25675455670833347,M,-0.002094721721484575,KLHL4
chr4:67701209-68080952,0.01278614544559368,0.01278614544559368,0.0005245905976351782,1.1944777295527957,0.5444768031361966,0.6969032549714063,-0.15242645183520964,U,0.00218103307507534,UBA6-DT
chr16:67842320-67844195,0.012325131165428271,0.012325131165428271,0.0004913245423084562,1.1518671481573397,0.21402966242454902,0.18908788175742036,0.024941780667128655,M,-0.0020763851235842436,CENPT
chr9:121338987-121370304,-0.011880699795521164,0.011880699795521164,0.00046141980366406674,1.1107892903189098,0.5900791736074595,0.5245299057247672,0.06554926788269233,M,-0.002242053149651595,STOM
chr15:97960703-97973833,-0.011652843790307494,0.011652843790307494,0.0004490585483279329,1.0897290384474991,0.5735504452903198,0.426322133632971,0.14722831165734884,M,-0.0021059253739154084,ARRDC4
chr7:101170496-101180293,-0.011204638072386572,0.011204638072386572,0.0004082943930108116,1.048302325551478,0.4622785520240864,0.2605082999862528,0.2017702520378336,M,-0.0022900959149565734,NAT16
chr12:12940775-12952147,-0.009933579269692863,0.009933579269692863,0.0003372489261295129,0.930821030717924,0.5077605657268366,0.7568744288977513,-0.24911386317091466,U,0.0020614209537423633,GPRC5D-AS1
chr13:45777242-45851753,-0.009851964495802097,0.009851964495802097,0.0003186475316720111,0.9232775486273117,0.6758029106047647,0.8093515838540352,-0.13354867324927044,U,0.002365161284441133,SIAH3
chr10:68901286-68946847,-0.009724500844198207,0.009724500844198207,0.0003137847080091113,0.9114963510911294,0.89076800284672,0.9224081084888531,-0.031640105642133154,U,0.0020700312917467613,DDX50
chr1:117111060-117122587,-0.00970239889347825,0.00970239889347825,0.00030911600277986256,0.9094535142188894,0.5387686485848222,0.6236664384682433,-0.08489778988342112,U,0.0023567744570605754,TRIM45
chr10:3775996-3785281,-0.009648866599570809,0.009648866599570809,0.0003244117648039366,0.9045056367561564,0.42856460521953643,0.590137781991352,-0.1615731767718156,U,0.001930707581005574,KLF6
chr14:104138587-104180894,-0.009467963574383082,0.009467963574383082,0.00028483439489118565,0.8877851501875405,0.5911842808181071,0.17453075106986338,0.41665352974824377,M,-0.0024157164879284837,KIF26A
chr11:118527472-118531197,0.009429807325163344,0.009429807325163344,0.0003086187254271724,0.8842584482325824,0.2972324210472772,0.6195869325136969,-0.3223545114664197,U,0.0018669189808184776,TTC36-AS1
chr14:26775495-26822107,-0.008800441418804237,0.008800441418804237,0.0002484620439265981,0.826087479708966,0.25256347649305555,0.5896158857935898,-0.33705240930053426,U,0.0024562392830139003,NOVA1-DT
chr1:86571181-86696311,0.008752258298514863,0.008752258298514863,0.00023993971652340766,0.8216340151259584,0.3707212220620878,0.6431304771272235,-0.2724092550651357,U,0.002230581888932669,CLCA4
chrX:7842262-7844143,-0.008629211090263673,0.008629211090263673,0.00023842102749895472,0.8102610201705965,0.3933105475,0.9726562400000001,-0.5793456925,U,0.0024523455895685796,VCX
chr6:8435568-9294133,0.008581997098155051,0.008581997098155051,0.0002361213672793922,0.8058971300693463,0.3923649305825522,0.5989664343043477,-0.20660150372179553,U,0.002018799078337538,HULC
chr1:246540561-246566261,-0.008411777855485473,0.008411777855485473,0.00022943121090745078,0.7901641230738957,0.7900704322174867,0.7511681335173199,0.038902298700166815,M,-0.0021917675301277436,TFB2M
chr11:36575574-36598279,0.008397542808709966,0.008397542808709966,0.00023924933893905998,0.7888484076060838,0.43104974119856454,0.654545433197262,-0.22349569199869745,U,0.0016509581083005373,RAG1
chr11:40114203-41459773,0.008110939588703604,0.008110939588703604,0.0002064615157354127,0.7623582740902648,0.4497456892671491,0.6294414487581232,-0.17969575949097416,U,0.0021540206238842303,LRRC4C
chr16:72782885-73891871,0.008004228696098193,0.008004228696098193,0.00020479606567422648,0.7524952104699509,0.3856783398171417,0.534918419732054,-0.14924007991491228,U,0.0019948710721040697,ZFHX3
chr14:67294371-67360265,-0.007694163509556959,0.007694163509556959,0.00019609143459788802,0.7238365366773037,0.7127124944601992,0.6258992912467938,0.08681320321340547,M,-0.0020116613121223584,PALS1
chr7:134549110-134579875,0.0076154353896597665,0.0076154353896597665,0.00018221738580100966,0.7165598619509006,0.19580853089484118,0.5444575793535088,-0.3486490484586676,U,0.0020929583693371483,AKR1B15
chr19:4292232-4302431,-0.007563613691466983,0.007563613691466983,0.0001734822022550682,0.7117700912563745,0.5085091533873545,0.30696634171384096,0.2015428116735135,M,-0.00245579016217169,TMIGD2
