segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,gene_symbol
chr22:22686726-22687271,-0.07809304130062995,0.07809304130062995,0.018764544179489768,7.218162510806698,0.515624994,0.0,0.515624994,M,IGLV3-25
chr14:35430260-35430631,0.06958152251034715,0.06958152251034715,0.014879950786080922,6.432824241678215,0.0,0.5117187565,-0.5117187565,U,DNAJC8P1
chr1:6247353-6261098,-0.04162000034997957,0.04162000034997957,0.005442593903436295,3.8528788809641425,0.45971748795116557,0.28760642103807255,0.17211106691309302,M,GPR153
chr9:8858127-8864772,-0.024891992499037254,0.024891992499037254,0.0019751684567917206,2.309424057528312,0.54589844,0.0,0.54589844,M,PTPRD
chr4:153780591-153789083,0.023283986189438863,0.023283986189438863,0.0017247501692148914,2.161057012463524,0.5283487299808334,0.6619741191275739,-0.1336253891467405,U,SFRP2
chr1:160485030-160523262,0.0221912147234058,0.0221912147234058,0.00156341517562052,2.0602295017885597,0.25378523349113474,0.5700629337962964,-0.3162777003051616,U,SLAMF6
chr7:101127104-101139247,-0.02149910560425268,0.02149910560425268,0.001480722477087052,1.9963701846588973,0.6131244859245639,0.3155773299802001,0.2975471559443638,M,SERPINE1
chr6:32659467-32668383,0.019835403697882642,0.019835403697882642,0.001279571598528954,1.8428642349350888,0.6183563239567709,0.32102864612916665,0.2973276778276042,M,HLA-DQB1
chr8:2045046-2165552,-0.016392168806269744,0.016392168806269744,0.0008834362525263754,1.525164868158243,0.5794919689512875,0.8084210508534122,-0.2289290819021247,U,MYOM2
chrX:87517409-87670050,0.012937539664180452,0.012937539664180452,0.0005588574744388028,1.2064141800875567,0.994628905,0.7378743482916665,0.25675455670833347,M,KLHL4
chr4:67701209-68080952,0.01278437187729011,0.01278437187729011,0.0005244629054328982,1.192281740553965,0.5444768031361966,0.6969032549714063,-0.15242645183520964,U,UBA6-DT
chr16:67842320-67844195,0.012323783602674249,0.012323783602674249,0.0004912348304891521,1.1497843194379298,0.21402966242454902,0.18908788175742036,0.024941780667128655,M,CENPT
chr9:121338987-121370304,-0.011884695040969978,0.011884695040969978,0.00046179744391681163,1.109270627400191,0.5900791736074595,0.5245299057247672,0.06554926788269233,M,STOM
