segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,annotated_genes,avg_depth
chr17:44004488-44005412,-5.400434706736551e-05,0.0009618494828183966,9.36904404290059e-07,3.357720075829013,0.0225,0.8775000000000001,-0.8550000000000001,U,0.000830946234575981,NAGS,3.4875
chr7:103653969-103655849,-5.5736153893256506e-05,0.0009605370904577921,9.359213086775419e-07,3.3521695172265584,0.9275,0.0,0.9275,M,-0.0008300713769300301,SLC26A5,4.0125
chr12:77718290-77720268,-5.8938371151090544e-05,0.0009538366153947545,9.154039597519427e-07,3.323830904005323,0.0,0.92,-0.92,U,0.0008260320587941106,NAV3,3.225
chr10:90233017-90234905,-5.7041688988346544e-05,0.0009533487283573826,9.124828011554877e-07,3.321767461948206,0.0,0.87,-0.87,U,0.0008262242115436192,KIF20B,2.5300000000000002
chr17:76537119-76537319,-5.6351245003690136e-05,0.0009516154506211628,9.110616280522225e-07,3.3144368343569375,0.015000000000000001,0.91,-0.895,U,0.0008238523120005488,PRCD,13.4025
chr4:22030343-22032147,-5.691200655554311e-05,0.0009500057577725711,9.082234598115938e-07,3.3076288897541932,0.0,0.9175,-0.9175,U,0.0008229184638443995,KCNIP4,2.32625
chr5:13714355-13716277,-5.956990626374578e-05,0.0009455144756270148,9.011210594861986e-07,3.288633713084935,0.015,0.8175,-0.8025,U,0.0008184533975334055,DNAH5,3.02625
chr5:68288133-68288236,-4.697843838191945e-05,0.0009451252658044107,9.03685282418756e-07,3.28698761090249,0.06499999999999999,0.9475,-0.8825000000000001,U,0.000817192982107993,PIK3R1,21.04
chr1:203364585-203364658,-4.3302849426789106e-05,0.0009427234453671957,9.012378373584236e-07,3.2768294863282246,0.017499999999999998,0.8925,-0.875,U,0.0008142605680393118,FMOD,22.5425
chr16:30417407-30418604,-4.727486976412656e-05,0.0009417913564952044,8.934892670383156e-07,3.2728873619590306,0.01,0.8674999999999999,-0.8574999999999999,U,0.0008157974150300737,ZNF771,2.42625
chr21:29256906-29257700,-4.160187477321575e-05,0.0009406256757618102,8.973128745423205e-07,3.2679572972796866,0.1575,0.935,-0.7775000000000001,U,0.0008128825248418213,BACH1,23.9675
chr12:113765989-113766583,-5.475972614049575e-05,0.0009389464446315683,8.867886003309761e-07,3.260855251370809,0.0175,0.9575,-0.9400000000000001,U,0.0008131479891381494,LHX5,3.1500000000000004
chr4:21845426-21847347,-5.328820862924625e-05,0.0009388788493078564,8.844964449352219e-07,3.2605693675019474,0.0,0.9275,-0.9275,U,0.0008141555029763218,KCNIP4,2.7349999999999994
chr15:96099554-96101534,-5.801066018668987e-05,0.0009383953694265142,8.858611023239415e-07,3.2585245648232255,0.14750000000000002,0.9125,-0.7649999999999999,U,0.0008132727319009102,NR2F2,2.275
chrX:130124908-130125627,-6.424951783776586e-05,0.000936927827117885,8.820054787253958e-07,3.252317823737141,0.0475,0.93,-0.8825000000000001,U,0.0008118416171987201,ELF4,15.105
chr2:220323738-220325650,-5.7396154574168194e-05,0.0009363175705423272,8.863351924551267e-07,3.2497368388222285,0.0175,0.935,-0.9175000000000001,U,0.0008093960671069027,SLC4A3,2.43125
chr9:109785469-109787161,-5.195000138114798e-05,0.0009345278343102636,8.843622203254429e-07,3.2421674288369173,0.0625,0.9325000000000001,-0.8700000000000001,U,0.000808109435543719,PTPN3,2.94875
chr10:1009045-1009625,-5.179053452160397e-05,0.0009331898314640244,8.782640338886119e-07,3.2365085546837027,0.04,0.9225,-0.8825,U,0.0008075263559413535,LARP4B,16.41875
chr6:106194117-106194389,-4.5805535361889666e-05,0.0009330250366662246,8.860607762295808e-07,3.2358115808136736,0.09,0.94,-0.85,U,0.0008056304284580249,PRDM1,25.56875
chr2:226372835-226374643,-5.052804994843947e-05,0.0009320957294547671,8.812276364188245e-07,3.231881221043442,0.03,0.985,-0.955,U,0.0008056506688664237,NYAP2,2.94
chr2:220496125-220497932,-5.959826716931291e-05,0.0009320883561735957,8.747523999661506e-07,3.231850036901822,0.02,0.8925,-0.8724999999999999,U,0.0008076554201544155,SLC4A3,1.97875
chr10:90732180-90733946,-4.5265097395976654e-05,0.0009314706061432511,8.784766661659069e-07,3.2292373595897446,0.0075,0.845,-0.8375,U,0.0008047546477995086,HTR7,3.0125
chr19:4014810-4016131,-4.305337422032146e-05,0.0009290755207114229,8.726491962023647e-07,3.219107719669314,0.04,0.9149999999999999,-0.8749999999999999,U,0.0008038901291041534,PIAS4,3.5725
chr3:190690704-190692683,-6.188826098081242e-05,0.0009286882955753296,8.656007037513682e-07,3.2174700114086234,0.0075,0.905,-0.8975000000000001,U,0.0008051908693406791,IL1RAP,2.8437499999999996
chr8:10760756-10761286,-4.875749743224841e-05,0.0009285930245133095,8.666025156243057e-07,3.2170670773252388,0.0075,0.895,-0.8875000000000001,U,0.0008053368184528342,,2.78125
chr2:84687769-84689764,-5.3345463671477405e-05,0.0009280073256320293,8.74205325081824e-07,3.2145899553444006,0.04,0.86,-0.82,U,0.0008026117267522943,DNAH6,2.9225000000000003
chr7:103660563-103662515,-6.104222442395859e-05,0.0009272013254250302,8.684507416474107e-07,3.2111811032992104,0.9775,0.065,0.9125000000000001,M,-0.0008018654472050296,SLC26A5,3.2725
chr18:2312088-2313853,-6.240086982970064e-05,0.0009263661590380523,8.650724491632209e-07,3.2076488974491353,0.025,0.985,-0.96,U,0.0008024456471219744,NDC80,2.7175
chr5:53490423-53491919,-5.7452891002192754e-05,0.0009254547946658353,8.716378099567864e-07,3.2037944241162903,0.035,0.8024999999999999,-0.7674999999999998,U,0.0007991073729813691,FST,16.2275
chr8:105960845-105962818,-5.420783816980623e-05,0.0009251173251998699,8.599382963000128e-07,3.202367149694701,0.005,0.89,-0.885,U,0.0008018816453157638,OXR1,3.4887499999999996
chr19:18433130-18434295,-4.1193374521165705e-05,0.0009246729695215827,8.603571999762329e-07,3.2004878167248485,0.0075,0.895,-0.8875000000000001,U,0.0008011620750676088,SSBP4,3.08875
chr4:24826031-24827852,-4.534270414021098e-05,0.0009243339856144162,8.586868089964877e-07,3.1990541372106294,0.085,0.95,-0.865,U,0.000801992099228433,SOD3,1.84375
chr4:113628447-113628669,-4.902331364091598e-05,0.0009234851380592982,8.653692798467679e-07,3.195464068995768,0.0325,0.945,-0.9125,U,0.0007984138019867683,ANK2,24.121249999999996
chr2:156319809-156320103,-5.350680256756591e-05,0.0009228308787825448,8.576590554586176e-07,3.1926969815257173,0.1325,0.945,-0.8125,U,0.0008001332703390413,NR4A2,16.7925
chr17:75769795-75770064,-4.964381362025121e-05,0.0009223025598513476,8.62444715445589e-07,3.190462539085771,0.030000000000000002,0.68,-0.65,U,0.0007983618103139944,GALK1,25.75375
chr16:88650537-88651549,-4.708903946751638e-05,0.0009222201477159847,8.536388939484913e-07,3.1901139898251865,0.0125,0.9400000000000001,-0.9275000000000001,U,0.000800146926752846,CYBA,14.1475
chrX:46347674-46349436,-5.444547426164764e-05,0.0009220239930992751,8.604746081136781e-07,3.1892843844968786,0.0175,0.9,-0.8825000000000001,U,0.00079701790820082,KRBOX4,2.3562499999999997
chr1:10537259-10537768,-4.9265124603442985e-05,0.0009206596384239365,8.620361191187541e-07,3.1835140593964555,0.08,0.875,-0.795,U,0.0007947681461621997,DFFA,16.676249999999996
chr15:96170915-96172769,-5.655051047529565e-05,0.0009203679049527239,8.524047118497067e-07,3.182280218224508,0.005,0.78,-0.775,U,0.0007976758283937831,NR2F2,3.775
chr19:5894097-5894896,-4.779658538830111e-05,0.0009198852310779406,8.52623994830041e-07,3.1802388244246957,0.005,0.9175,-0.9125,U,0.0007964733578158847,FUT6,20.291250000000005
chr2:219876287-219878061,-5.029463296015016e-05,0.0009179259639728585,8.476106600284604e-07,3.1719524100786,0.060000000000000005,0.8674999999999999,-0.8074999999999999,U,0.0007960106542686368,SLC4A3,2.7312499999999997
chr19:49712439-49713296,-5.577700093923975e-05,0.0009175411496771259,8.444562768748503e-07,3.170324898090842,0.0225,0.8525,-0.8300000000000001,U,0.0007962193412108535,CPT1C,17.14875
chr4:109911468-109913435,-4.601335399634281e-05,0.0009171608288709181,8.512214722814671e-07,3.168716390615519,0.015000000000000001,0.74,-0.725,U,0.0007928844416504552,EGF,17.64
chr7:42888108-42889292,-5.2796388779598305e-05,0.0009170953875182134,8.451018825225799e-07,3.1684396166307605,0.02,0.9424999999999999,-0.9224999999999999,U,0.0007947136501812133,GLI3,5.8950000000000005
chr8:118259566-118261513,-4.75709675881633e-05,0.0009154369469681464,8.466232903814137e-07,3.1614255012349703,0.0,0.7725000000000001,-0.7725000000000001,U,0.000792838606150544,EXT1,2.83125
chr15:48530495-48530554,-3.467827128117269e-05,0.0009146722786947717,8.462450774128068e-07,3.158191456150428,0.11499999999999999,0.97,-0.855,U,0.000791622096305719,DUT,23.42875
chr12:47201542-47203477,-4.00754468972141e-05,0.0009142385630706076,8.420693133570804e-07,3.156357123628396,0.03,0.8975,-0.8674999999999999,U,0.0007919317293751727,AMIGO2,3.45
chr13:21326088-21326672,-5.855296420032775e-05,0.0009137537707418076,8.418529593224791e-07,3.154306770158047,0.02,0.86,-0.84,U,0.0007919354915177821,,1.9449999999999998
chr8:106314121-106316083,-6.189024594203447e-05,0.0009136636709283377,8.37234965886537e-07,3.1539257070630864,0.015,0.89,-0.875,U,0.0007923622351520812,OXR1,3.3800000000000003
chr12:58437980-58439714,-4.9854640337538555e-05,0.0009119455594221197,8.378431295709325e-07,3.1466592226739043,0.0,0.875,-0.875,U,0.0007908477336762365,CTDSP2,2.4375
chr1:206514915-206515116,-3.9147206001411496e-05,0.0009116992930526969,8.416664598068458e-07,3.1456176775107907,0.01,0.8475,-0.8375,U,0.000788036728884192,RASSF5,11.861250000000002
chr6:1468752-1470743,-4.0846880806800036e-05,0.0009110333952158764,8.341588129103806e-07,3.142801366567913,0.0025,0.9,-0.8975000000000001,U,0.0007899060124094968,FOXF2,3.19875
chr7:16953832-16954026,-5.139787415521215e-05,0.0009109229944533421,8.366270536304378e-07,3.142334443778207,0.03,0.8875,-0.8574999999999999,U,0.0007887106235791261,AGR3,28.06125
chr15:40307479-40307683,-4.479487912345309e-05,0.000910701297412934,8.35190278419299e-07,3.1413968107564716,0.91,0.0825,0.8275,M,-0.0007895509210837973,PLCB2,19.211250000000003
chr3:108150214-108150586,-4.419626495962998e-05,0.0009105580225510951,8.359128406101658e-07,3.1407908520959618,0.0,0.735,-0.735,U,0.0007888920398877022,CD47,3.25
chr5:32961825-32963405,-4.651743907530548e-05,0.0009096720853762625,8.32951990176937e-07,3.137043919124837,0.0,0.9475,-0.9475,U,0.0007889333013236261,NPR3,2.755
chr21:29250133-29250776,-4.1151808489696726e-05,0.0009088993522966427,8.364836913174209e-07,3.133775765201334,0.04,0.8825,-0.8424999999999999,U,0.0007858694282719799,BACH1,20.24125
chr4:109939366-109939536,-6.641991320785351e-05,0.000908547687037993,8.285379675534513e-07,3.1322884518907905,0.0125,0.9025000000000001,-0.8900000000000001,U,0.0007883481126464745,EGF,21.638749999999998
chr12:52199274-52201263,-6.252228372664742e-05,0.0009078832511273282,8.422971116873905e-07,3.1294783239363566,0.0575,0.9275,-0.87,U,0.0007836388591343921,KRT80,2.72
chr2:220505805-220507760,-5.190149465222668e-05,0.0009075227084802343,8.363997464270422e-07,3.1279534650972995,0.045000000000000005,0.8975000000000001,-0.8525,U,0.0007854882366049958,SLC4A3,2.7737499999999997
