segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,gene_symbol,avg_depth
chr6:130446912-130448885,0.0011615480444910956,0.008584508235766281,8.113819170796661e-05,7.7131892881705255,0.06666666666666667,0.8266666666666667,-0.76,U,-0.007902588206309992,,2.7099999999999995
chr10:90267829-90269582,0.001295032229284033,0.008548327629379144,7.783117311174307e-05,7.67947818927386,0.07166666666666667,0.935,-0.8633333333333334,U,-0.007943812757884585,,2.459166666666667
chr5:159865440-159867133,0.0014142493334413566,0.008429901245146166,7.622160095348343e-05,7.569134998556312,0.2916666666666667,0.8583333333333334,-0.5666666666666667,U,-0.007795970083890801,,2.8958333333333335
chr6:130337777-130339684,0.0012523636475298813,0.008385077813687606,7.457638541793789e-05,7.5273709906616135,0.025000000000000005,0.9233333333333333,-0.8983333333333333,U,-0.0077324934161468704,,1.9675000000000002
chr14:53890637-53892475,0.001595639437212185,0.008295674445818704,7.349659612138273e-05,7.44406985016456,0.05499999999999999,0.8216666666666668,-0.7666666666666668,U,-0.007730092995077354,,2.6675
chr6:130332786-130334703,0.0012109626425899148,0.008238265182667777,7.136663547834783e-05,7.390579056589755,0.02666666666666667,0.8366666666666666,-0.8099999999999999,U,-0.007557358525263584,,2.1616666666666666
chr3:152490270-152492003,0.0017662924740575808,0.007993558889039961,6.970369822964078e-05,7.162575192396465,0.061666666666666675,0.7466666666666667,-0.685,U,-0.007558687858724011,,3.7841666666666662
chr17:81713390-81713963,0.0010927972629749762,0.007728581978357294,6.509702573538163e-05,6.9156842822283044,0.07333333333333333,0.8316666666666667,-0.7583333333333333,U,-0.007142820789715123,SLC25A10,3.8175000000000003
chr6:117723351-117724232,0.001060319469130137,0.007694457297738118,6.550776482261343e-05,6.883888781874858,0.03833333333333333,0.32,-0.2816666666666667,U,-0.007175453696232299,,14.213333333333333
chr10:89928654-89930289,0.0009726318929187252,0.00751207471891682,5.999919037162743e-05,6.713954726986837,0.024999999999999998,0.8016666666666667,-0.7766666666666667,U,-0.0068663344634872945,,2.1783333333333332
chr13:37824667-37826370,0.0013860864818917,0.007400785766138719,6.048863088677222e-05,6.61026180230046,0.01,0.3433333333333333,-0.3333333333333333,U,-0.007287019625378942,,3.1291666666666664
chr20:54414010-54415512,0.0009462347682090986,0.007249911716400225,5.7832967844985164e-05,6.469685661667201,0.015,0.355,-0.33999999999999997,U,-0.006602340422077624,,3.1575
chrX:45830040-45831907,0.0009451265096335329,0.007226773969291883,5.8353749045820136e-05,6.44812718161661,0.043333333333333335,0.89,-0.8466666666666667,U,-0.006693214155408176,,2.185
chr13:54666596-54668309,0.0009695171928633334,0.007111375990166448,5.469041663741425e-05,6.340605692199123,0.06833333333333334,0.8966666666666666,-0.8283333333333333,U,-0.0065007195194613475,,2.5124999999999997
chr2:198741491-198743379,0.000858495969389369,0.006986832176677006,5.3709749511115014e-05,6.224562617393083,0.155,0.7883333333333334,-0.6333333333333334,U,-0.006537269523268671,,2.0733333333333333
chr7:143735233-143736847,0.0008741666435222358,0.0068987414241281275,5.230797897955208e-05,6.142484499650075,0.16333333333333333,0.8700000000000001,-0.7066666666666668,U,-0.006257418044822748,,2.945
chr6:130374435-130376374,0.0008389425773971943,0.006878597603575817,5.051883558628787e-05,6.123715595681759,0.19166666666666665,0.9416666666666668,-0.7500000000000001,U,-0.006289373045734968,,2.716666666666667
chr4:21819448-21821159,0.0005532502934971431,0.00684505110291679,5.294984798096079e-05,6.09245881161206,0.0,0.8300000000000001,-0.8300000000000001,U,-0.006200644978653949,,2.5508333333333333
chr18:20938413-20938765,0.00081004587186092,0.006826755137555003,5.039564263645818e-05,6.075411637467947,0.2316666666666667,0.8583333333333333,-0.6266666666666666,U,-0.006428029277128666,,12.141666666666666
chr8:119201710-119202750,0.0009147933031837178,0.006818476255247862,5.040909296207029e-05,6.0676978303187905,0.011666666666666667,0.8616666666666667,-0.85,U,-0.006401831896384345,,3.2875
chr21:35764992-35766925,0.0006060409840799326,0.006724188450666856,5.3727966905435596e-05,5.979845640364623,0.13166666666666668,0.8366666666666666,-0.7049999999999998,U,-0.006138787831202682,,1.9474999999999998
chr6:11528734-11529754,0.0012770756010133289,0.006716279808762258,5.51045420726929e-05,5.972476802857273,0.19166666666666668,0.755,-0.5633333333333334,U,-0.006582238977158127,,3.6583333333333328
chr4:144780609-144782601,0.00107805456263339,0.0066777076662142216,5.037955606217472e-05,5.93653740211369,0.09333333333333334,0.8033333333333333,-0.71,U,-0.006281514425691915,,2.2408333333333332
chr7:42016534-42018502,0.001143517331453591,0.00667549518524482,5.295039404125266e-05,5.934475934045179,0.09833333333333334,0.5033333333333334,-0.4050000000000001,U,-0.006525369545854572,,2.5108333333333333
chr8:32072974-32073722,0.0004912500216823052,0.006662521138787764,4.940100004013764e-05,5.922387431201311,0.005,0.6833333333333332,-0.6783333333333332,U,-0.005977929868879909,,2.5108333333333337
chr2:55869784-55870839,0.0009657188319392003,0.006653441321983418,4.8788036414520726e-05,5.9139273573435185,0.11333333333333334,0.8283333333333335,-0.7150000000000001,U,-0.006168791047016633,,2.5841666666666665
chr5:1454346-1455613,0.000703724946916741,0.006650670726217026,6.03930147411222e-05,5.911345868606593,0.04666666666666667,0.425,-0.3783333333333333,U,-0.006171196553043681,,25.44333333333333
chr2:198855962-198857338,0.0009203875612601659,0.006499687973206818,4.6009674021927586e-05,5.770668444244037,0.05833333333333333,0.785,-0.7266666666666667,U,-0.006051379033415798,,2.8633333333333333
chr8:120292891-120294004,0.0009612252317226151,0.006495736211498688,5.014725808275825e-05,5.766986410053305,0.02,0.7183333333333334,-0.6983333333333334,U,-0.006320806350652791,,3.285
chr2:199265121-199267009,0.0009302387179386958,0.006474762141507553,4.7197556463063354e-05,5.747443925326237,0.125,0.8766666666666666,-0.7516666666666666,U,-0.005956154328921982,,2.580833333333333
chr15:96315891-96316794,0.0012548540014948018,0.00640753393252324,4.667288737848874e-05,5.684804378120593,0.10166666666666667,0.9466666666666668,-0.8450000000000001,U,-0.006230941803940591,,3.110833333333334
chr6:148460482-148462438,0.000711973043278828,0.0063491721061025895,4.358269293097943e-05,5.630426038487347,0.05833333333333334,0.8733333333333332,-0.8149999999999998,U,-0.005851265242261862,,2.3158333333333334
chr3:51096432-51098024,0.0008380026945078138,0.0063427385365712905,4.717050906800954e-05,5.62443159228024,0.09000000000000001,0.5566666666666668,-0.46666666666666673,U,-0.006177208832694882,,2.2116666666666664
chr12:58068588-58070289,0.0005536072906299815,0.006327776617206744,4.323370327267601e-05,5.6104908988052555,0.0033333333333333335,0.8266666666666668,-0.8233333333333335,U,-0.005783205621914859,,3.9358333333333335
chr3:190612213-190614081,0.0014500248688175304,0.006312228602622026,4.6625646844747966e-05,5.596004114042616,0.11833333333333335,0.91,-0.7916666666666667,U,-0.005912269078011839,,2.3858333333333337
chr2:147007532-147009298,0.0004744409212859488,0.00628849164413418,4.887696666893518e-05,5.573887321788567,0.03166666666666667,0.6916666666666665,-0.6599999999999999,U,-0.00574077088825891,,2.658333333333333
chr12:77640816-77642572,0.0005191773090058819,0.006245033098884798,4.487818420245739e-05,5.533395039787236,0.04,0.7799999999999999,-0.7399999999999999,U,-0.0057957935801433704,,2.1816666666666666
chr9:122303181-122305053,0.0016391415301399831,0.006221733785092744,4.5003678476664034e-05,5.511686020787831,0.9800000000000001,0.8666666666666666,0.11333333333333351,M,0.0064479637667219985,,2.7283333333333335
chr8:106390542-106392350,0.0005517058415151203,0.00618218629748377,4.1935957321885803e-05,5.474837847165878,0.04,0.7816666666666667,-0.7416666666666667,U,-0.0056217000609610065,,2.7108333333333334
chr18:2314421-2316210,0.0005332608303140789,0.00611845887503916,4.201363300713233e-05,5.415460140295172,0.18999999999999997,0.9033333333333332,-0.7133333333333333,U,-0.005488901270509724,,3.3800000000000003
chr2:225783742-225785223,0.0008849214375883416,0.0061016582716087705,4.162670102894486e-05,5.399806262145499,0.235,0.9233333333333333,-0.6883333333333334,U,-0.005793529020329598,,2.5016666666666665
chr17:56493128-56495062,0.0006125363720462555,0.005992930254904536,4.5149271343617305e-05,5.298499476827003,0.035,0.6816666666666666,-0.6466666666666666,U,-0.0055992739227604,,3.9666666666666672
